Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
01355,="12:36:59.641",0x710DF0,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01356,="12:36:59.672",0x710EF5,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 05 00 00 00 00 00 00 
01357,="12:36:59.672",0x710EFF,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01358,="12:36:59.672",0x710F27,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01359,="12:36:59.701",0x710FBA,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F1 04 00 01 
01360,="12:36:59.701",0x710FBE,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F1 00 00 00 
01361,="12:36:59.701",0x710FC1,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F1 04 00 01 
01362,="12:36:59.701",0x710FC9,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F1 00 00 00 
01363,="12:36:59.701",0x710FE3,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01364,="12:36:59.732",0x7110E8,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 06 02 00 04 BB 02 00 
01365,="12:36:59.732",0x7110F3,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01366,="12:36:59.732",0x711126,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01367,="12:36:59.732",0x7111D6,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01368,="12:36:59.761",0x7112DC,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 07 04 B2 06 C8 00 00 
01369,="12:36:59.761",0x7112E6,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01370,="12:36:59.792",0x711322,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01371,="12:36:59.792",0x7113C9,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F7 05 00 00 
01372,="12:36:59.792",0x7113CE,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01373,="12:36:59.821",0x7114CF,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 08 00 00 1A 1A 00 00 
01374,="12:36:59.821",0x7114D9,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01375,="12:36:59.821",0x711520,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01376,="12:36:59.821",0x711544,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F9 01 00 00 
01377,="12:36:59.821",0x711548,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F9 01 00 00 
01378,="12:36:59.851",0x7115BD,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
